thui thủi
bản giốc
đà nẵng
tay gôn
mắt biếc
nước biếc
nước vối
nước vốc
nhi nhít
ngộ nghĩnh
ngợm ngĩnh
biển thẳm
thăm thẳm
mùa nồm
phí cuợc
tiền cược
cá cược
kinh xáng
gác điêng
nạn xiệt
pháp điệt
quần soóc
ngựa thiến
quê kiểng
hoa kiểng
chó kiểng
mèo kiểng
thú kiểng
cây kiểng
phú lít
phủ doãn
đay đảy
đây nè
mặt thộn
mặt nọng
cằm nọng
trắng trẻo
trứng mén
tay doa
thân phược
đàn đúm
dúm dó
từ dũ
bóng dợn
gạo lứt
cơm lứt
học phiệt
con cón
chín rưỡi
sáng lạn
đường trũng
đỏ choét
bộ sậu
cá chẽm
mẫm mạp
mạng mẽo
khự nự
lót dĩa
ăn xổi
tây mỗ
xe buýt
có nhẽ
bộ vấu
tỉnh rụi
nói đớt
cha rể
anh rể
chú rể
gân guốc
tròn trịa
bạc bẽo
số pi
khôn lỏi
ổ líp
vở nháp
tập nháp
giấy nháp
thừng thững
cổ xúy
cung đoài
dục dặc
thượng mỗ
liệu rằng
giáo thuẫn
con mọn
hèn mọn
vận bễ
lau sậy
nhập nhoạng
ra rại
rích rích
lẫm chẫm
rừng khộp
tre pheo
chí phèo
lành ngạnh
ương ngạnh
hình phễu
độ sệt
lá vối
đá sệt
cửa ngách
nhân rão
nga truật
gỗ sưa
cương ngạnh
đến đỗi
buộc boa
buộc néo
leng keng
nhè nhoẹt
mồm doe
núi biêu
nói sõi
lễ mọn
hèn mọn
tréo ngoảy
nhã nhặn
tam thuấn
na nu
gái gú
ơi hỡi
non nớt
non choẹt
non nõn
mơn mởn
đây đó
nè he
dư dả
già khọm
già khú
